Season,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,EV,ERA,FIP,xFIP,WAR
2006,Orioles,70,92,35,634,162,1419,6.44,3.89,1.37,0.307,69.20%,42.30%,12.70%,,5.35,5.09,4.8,7.6
2019,Giants,77,85,41,749,162,1469,8.38,3.18,1.39,0.286,72.60%,42.20%,15.10%,89.4,4.38,4.55,4.58,7.6
2010,Brewers,77,85,35,657,162,1439,7.87,3.64,1.08,0.308,70.00%,41.80%,10.30%,,4.59,4.21,4.07,7.4
2018,Orioles,47,115,28,652,162,1431,7.57,3.7,1.47,0.31,70.00%,41.90%,14.40%,88.6,5.19,4.98,4.73,7.3
2020,Rays,40,20,23,279,60,527.2,9.42,2.87,1.19,0.291,77.20%,45.10%,14.90%,87.5,3.56,3.94,3.94,7.3
2014,Rockies,66,96,24,709,162,1431,6.75,3.34,1.09,0.307,69.20%,47.70%,12.70%,,4.86,4.43,4.04,7.2
2013,Giants,76,86,41,686,162,1447.1,7.81,3.24,0.9,0.295,72.10%,42.10%,9.90%,,4,3.8,3.89,7.1
2015,Braves,67,95,44,694,162,1425.1,7.25,3.47,1.07,0.305,71.40%,43.40%,11.30%,88.6,4.41,4.34,4.36,7
2012,Blue Jays,73,89,29,657,162,1443.2,7.12,3.58,1.27,0.291,72.00%,46.50%,14.10%,,4.64,4.66,4.3,6.9
2020,Cubs,34,26,16,248,60,518.1,9.08,3.16,1.28,0.278,75.00%,45.00%,16.00%,88.4,3.99,4.18,4.04,6.8
2009,Orioles,64,98,31,646,162,1429,5.88,3.44,1.37,0.307,70.30%,41.70%,11.60%,,5.16,5.03,4.78,6.8
2019,Rockies,71,91,28,752,162,1448.2,7.85,3.66,1.68,0.308,68.50%,46.10%,19.00%,89.9,5.58,5.23,4.75,6.7
2012,Red Sox,69,93,35,651,162,1443,7.33,3.3,1.19,0.296,69.60%,46.40%,13.20%,,4.72,4.41,4.16,6.4
2010,Pirates,57,105,31,679,162,1411.2,6.54,3.43,1.06,0.311,67.40%,44.00%,10.00%,,5,4.45,4.35,6.4
2018,Royals,58,104,33,645,162,1432,7.27,3.45,1.29,0.309,70.60%,43.10%,13.00%,89.2,4.95,4.66,4.63,6.4
2011,Reds,79,83,39,663,162,1467.2,6.82,3.31,1.13,0.282,73.70%,44.80%,11.50%,,4.16,4.37,4.11,6.2
2020,Astros,29,31,16,253,60,524,9.03,3.73,1.2,0.288,71.50%,44.20%,14.00%,88.3,4.31,4.33,4.43,6.1
2020,White Sox,35,25,13,284,60,527,8.93,3.71,1.21,0.269,75.10%,44.20%,14.50%,88.1,3.81,4.32,4.36,6
2020,Orioles,25,35,11,267,60,518.2,8.45,3.33,1.37,0.282,69.70%,42.60%,14.60%,89.5,4.51,4.6,4.63,6
2020,Phillies,28,32,11,249,60,497,9.63,3.35,1.45,0.343,69.40%,46.60%,18.60%,88.1,5.2,4.43,4,6
2020,Yankees,33,27,14,234,60,500.2,9.49,3.02,1.49,0.28,71.10%,42.90%,16.00%,88.2,4.35,4.39,4.24,5.9
2012,Twins,66,96,35,661,162,1438.2,5.9,2.91,1.24,0.294,68.80%,45.70%,12.70%,,4.77,4.66,4.46,5.9
2019,Marlins,57,105,27,701,162,1444.1,8.59,3.83,1.47,0.281,72.10%,38.30%,14.20%,88.6,4.74,4.89,5.06,5.9
2019,Mariners,68,94,34,700,162,1439.1,7.75,3.16,1.63,0.291,68.40%,43.40%,16.40%,89.5,5,5,4.85,5.8
2019,Angels,72,90,32,751,162,1442.2,8.76,3.59,1.67,0.29,70.90%,40.40%,17.00%,89,5.12,5.04,4.8,5.8
2011,Astros,56,106,25,665,162,1435,7.47,3.51,1.18,0.301,70.80%,43.20%,12.00%,,4.51,4.35,4.02,5.6
2017,Marlins,77,85,34,742,162,1442.2,7.5,3.91,1.2,0.298,70.70%,42.50%,12.20%,87.4,4.82,4.69,4.9,5.5
2019,Orioles,54,108,27,695,162,1443,7.78,3.5,1.9,0.295,68.50%,40.50%,17.40%,89.5,5.67,5.56,5.23,5.5
2017,Reds,68,94,33,666,162,1430,8.18,3.97,1.56,0.296,71.10%,44.60%,16.80%,87.2,5.17,5.08,4.66,5.3
2013,Brewers,74,88,40,663,162,1442.2,7.02,2.91,1.09,0.286,73.50%,44.40%,11.90%,,3.84,4.12,3.94,5.3
2009,Brewers,80,82,44,674,162,1435,6.92,3.81,1.3,0.295,71.90%,42.60%,12.00%,,4.84,4.84,4.54,5.2
2020,Mets,26,34,11,257,60,513.1,10.06,3.84,1.42,0.316,69.90%,41.70%,15.80%,87.9,5.01,4.46,4.33,5.1
2009,Nationals,59,103,33,694,162,1424.1,5.76,3.97,1.09,0.296,67.90%,44.40%,10.30%,,5.02,4.82,4.8,4.9
2011,Orioles,69,93,32,640,162,1446.2,6.49,3.33,1.31,0.302,69.50%,43.10%,12.10%,,4.92,4.67,4.29,4.9
2006,Nationals,71,91,32,679,162,1436.1,6.02,3.66,1.21,0.292,69.00%,39.60%,10.20%,,5.03,4.97,5.08,4.6
2020,Angels,26,34,12,288,60,525.1,8.96,3.41,1.4,0.287,65.50%,39.40%,14.00%,88.7,5.09,4.49,4.6,4.5
2020,Blue Jays,32,28,17,286,60,524.2,8.9,4.29,1.39,0.302,70.30%,43.10%,14.90%,88.4,4.63,4.73,4.72,4.5
2012,Cubs,61,101,28,655,162,1413.2,7.18,3.65,1.11,0.291,71.30%,43.20%,11.80%,,4.51,4.46,4.39,4.4
2007,Nationals,73,89,46,750,162,1446.2,5.79,3.61,1.16,0.286,72.00%,39.70%,9.60%,,4.58,4.92,4.93,4.4
2017,White Sox,67,95,25,682,162,1421.2,7.55,4,1.53,0.281,72.40%,41.90%,14.70%,87.9,4.78,5.17,5.01,4.4
2020,Braves,35,25,13,288,60,524.1,8.69,3.78,1.18,0.294,70.60%,43.70%,13.20%,87.7,4.46,4.42,4.63,4.1
2020,Royals,26,34,19,292,60,517,9,3.67,1.32,0.303,73.90%,44.40%,15.00%,89.2,4.3,4.5,4.47,3.9
2020,Rangers,22,38,10,264,60,516.2,8.52,4.11,1.41,0.277,68.60%,40.60%,14.00%,88.5,5.02,4.88,5,3.8
2020,Cardinals,30,28,13,234,58,473,8.83,3.88,1.31,0.25,74.00%,44.40%,15.40%,88.6,3.92,4.58,4.52,3.8
2020,Rockies,26,34,16,249,60,526.1,6.72,3.51,1.42,0.307,66.50%,44.50%,15.00%,89.4,5.59,5.14,5.13,3.5
2020,Giants,29,31,13,296,60,517.2,8.48,3.65,1.2,0.281,67.80%,38.80%,12.10%,88,4.64,4.45,4.84,3.5
2008,Orioles,68,93,35,653,161,1422,5.84,4.35,1.16,0.298,70.10%,44.60%,10.70%,,5.15,5.14,5.04,3.4
2020,Mariners,27,33,15,249,60,516.2,8.17,4.01,1.38,0.281,69.90%,40.30%,13.50%,89.2,5.03,4.91,5.11,3.4
2020,Nationals,26,34,12,262,60,503.2,9.08,3.86,1.68,0.317,74.10%,37.90%,16.30%,89.4,5.09,5.02,4.8,3
2010,Diamondbacks,65,97,35,616,162,1432,6.72,3.44,1.32,0.296,70.10%,41.80%,12.00%,,4.81,4.76,4.35,2.7
2020,Pirates,19,41,6,269,60,513,9.4,4.37,1.4,0.28,70.20%,43.40%,16.20%,88.5,4.68,4.8,4.63,2.7
2018,Marlins,63,98,30,707,161,1442,7.8,3.78,1.2,0.29,69.90%,40.90%,12.10%,88.8,4.76,4.57,4.65,2.7
2020,Marlins,31,29,18,275,60,504,8.05,4.04,1.46,0.297,70.60%,45.20%,15.70%,88.9,4.86,5.02,4.9,2.2
2013,Astros,51,111,32,610,162,1440,6.78,3.85,1.19,0.303,70.00%,43.90%,11.80%,,4.79,4.67,4.48,2.2
2020,Tigers,23,35,11,276,58,492.1,8.12,3.51,1.66,0.297,68.70%,42.20%,17.10%,89.6,5.63,5.17,4.85,1.6
2020,Diamondbacks,25,35,13,260,60,518.1,9.1,4.08,1.61,0.294,74.00%,38.40%,15.70%,89.3,4.84,5,4.87,1.5
2016,Reds,68,94,28,646,162,1442,7.75,3.97,1.61,0.29,72.80%,41.60%,15.90%,88.3,4.91,5.24,4.79,1
2006,Royals,62,100,35,635,162,1426.1,5.7,4.02,1.34,0.311,67.10%,42.20%,12.10%,,5.67,5.29,5.09,0.5
2020,Red Sox,24,36,14,292,60,524,9.22,4.33,1.68,0.332,70.80%,42.90%,18.90%,88.9,5.58,5.19,4.67,-0.2
